id;total_amount;modified_date;created_date;modified_by;created_by
1;36635;2023-02-26;2023-02-25;killer Bacon;Polarised
2;16066;2023-02-26;2023-02-26;niches;Optimization lime deploy
3;46570;2023-02-25;2023-02-25;Wooden Factors Automotive;tan moratorium Keyboard
4;12604;2023-02-25;2023-02-25;Baby bandwidth;system deposit
5;78229;2023-02-25;2023-02-26;bandwidth Secured;Key
6;31306;2023-02-25;2023-02-25;invoice edge;Garden
7;53459;2023-02-25;2023-02-25;generate Designer transmit;AI
8;5026;2023-02-25;2023-02-25;exploit synergies;open-source Kentucky
9;9720;2023-02-25;2023-02-25;Assistant Fish New;Illinois and
10;17239;2023-02-25;2023-02-25;Account;Lari protocol transmit
