id;quantity;unit_price;total;type;modified_date;created_date;modified_by;created_by
1;22138;50593;95937;ATEASE_COMMISSION;2023-02-26;2023-02-25;granular;Architect Games
2;34601;5204;59722;TAXES;2023-02-26;2023-02-26;Paradigm Agent PCI;Borders Bedfordshire
3;80458;91849;18578;TAXES;2023-02-25;2023-02-25;yellow Cambridgeshire;Legacy input
4;90516;16846;99957;PRICE_BY_NIGHT;2023-02-25;2023-02-26;transition;Shoes Awesome
5;41554;11627;13611;FEE;2023-02-25;2023-02-25;Ridge Stream;copying
6;38209;60472;56283;PRICE_BY_NIGHT;2023-02-25;2023-02-26;heuristic silver;Configurable transition wireless
7;86253;96633;74155;ATEASE_COMMISSION;2023-02-25;2023-02-25;grow;service-desk architectures needs-based
8;53469;48698;38395;TAXES;2023-02-26;2023-02-25;Liberian invoice;Incredible
9;44716;59621;56797;PRICE_BY_NIGHT;2023-02-25;2023-02-26;Egyptian circuit;Analyst withdrawal Borders
10;45521;74255;94292;TAXES;2023-02-25;2023-02-25;Kwacha HTTP;Web
