id;type;property_id;status;modified_date;created_date;modified_by;created_by
1;BAH;16091;ARCHIVED;2023-02-25;2023-02-25;Wisconsin Yuan;Terrace Specialist Viaduct
2;LEAVE;77348;ARCHIVED;2023-02-25;2023-02-25;Security Web redundant;white seamless connecting
3;LEAVE;67013;ARCHIVED;2023-02-25;2023-02-25;open-source Fish Incredible;Games Lodge Account
4;LEAVE;94301;REJECTED_BY_CHANNEL;2023-02-25;2023-02-25;synergies navigating;THX generating
5;BAH;18732;ARCHIVED;2023-02-25;2023-02-25;pricing;Islands Outdoors
6;BAH;69144;REJECTED_BY_CHANNEL;2023-02-25;2023-02-25;Shoes Borders;Health port Fantastic
7;BAH;21985;WAITING_RESCHEDULE;2023-02-25;2023-02-26;Incredible digital holistic;Loan help-desk
8;TDY;66427;EXECUTED;2023-02-25;2023-02-25;service-desk transparent Account;Unbranded interface
9;LEAVE;65266;EXECUTED;2023-02-26;2023-02-25;1080p user-facing generation;PNG
10;LEAVE;74168;CANCELLED;2023-02-25;2023-02-25;Account Assimilated;Internal Hat
